2016-07-06 04:57:44.750 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:59:44.751 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:01:44.753 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:03:44.755 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:05:44.758 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:07:44.798 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:09:44.861 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:11:44.879 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:13:44.882 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:15:44.885 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:17:44.888 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:19:44.890 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:21:44.893 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:23:44.897 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:25:44.900 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:27:44.903 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:29:44.905 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:31:44.909 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:33:44.912 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:35:44.915 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:37:44.918 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:39:44.920 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:41:44.922 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:43:44.927 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:45:44.933 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:47:44.936 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:49:44.939 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:51:44.943 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:53:44.946 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:55:44.949 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:57:44.950 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 05:59:44.953 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:01:44.957 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:03:44.960 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:05:44.963 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:07:44.966 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:09:44.969 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:11:44.974 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:13:44.976 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:15:44.981 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:17:44.984 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:19:44.989 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:21:44.992 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:23:44.996 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:25:44.999 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:27:45.002 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:29:45.006 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:31:45.007 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:33:45.010 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:35:45.018 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:37:45.022 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:39:45.026 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:41:45.030 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:43:45.034 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:45:45.037 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:47:45.040 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:49:45.042 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:51:45.047 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:53:45.050 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:55:45.053 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:57:45.057 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 06:59:45.062 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:01:45.066 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:03:45.070 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:05:45.073 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:07:45.078 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:09:45.081 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:11:45.088 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:13:45.092 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:15:45.094 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:17:45.097 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:19:45.185 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:21:45.189 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:23:45.192 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:25:45.196 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:27:45.198 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:29:45.201 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:31:45.203 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:33:45.206 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:35:45.209 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:37:45.212 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:39:45.215 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:41:45.217 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 07:43:45.219 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
